crop_code,unit_cd,mean_cf_nat,mean_cf1,mean_cf2,mean_cf3,mean_cf4,mean_cf6,mean_cf7,mean_cf12,mean_cf99,note
3. MILLET,152. Sahin Medium,1.2949999570846558,1.2949999570846558,1.2949999570846558,1.2949999570846558,1.2949999570846558,1.2949999570846558,1.2949999570846558,1.2949999570846558,1.2949999570846558,Used jog ratio for teff to estimate container CF

3. MILLET,153. Sahin Large,2.1640000343322754,2.1640000343322754,2.1640000343322754,2.1640000343322754,2.1640000343322754,2.1640000343322754,2.1640000343322754,2.1640000343322754,2.1640000343322754,Used jog ratio for teff to estimate container CF

3. MILLET,171. Sini Small,0.0489999987185001,0.0489999987185001,0.0489999987185001,0.0489999987185001,0.0489999987185001,0.0489999987185001,0.0489999987185001,0.0489999987185001,0.0489999987185001,Used jog ratio for teff to estimate container CF

3. MILLET,172. Sini Medium,0.0839999988675117,0.0839999988675117,0.0839999988675117,0.0839999988675117,0.0839999988675117,0.0839999988675117,0.0839999988675117,0.0839999988675117,0.0839999988675117,Used jog ratio for teff to estimate container CF

3. MILLET,181. Tasa/Tanika/Shember/Selemon Small,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.2619999945163727,0.3000000119209289,0.3400000035762787,0.3000000119209289,0.3000000119209289,0.3000000119209289,

3. MILLET,182. Tasa/Tanika/Shember/Selemon Medium,0.722000002861023,0.75,0.722000002861023,0.75,0.722000002861023,0.722000002861023,0.699999988079071,0.722000002861023,0.722000002861023,

3. MILLET,183. Tasa/Tanika/Shember/Selemon Large,1.003999948501587,1.003999948501587,1.003999948501587,0.9800000190734864,1.003999948501587,1.003999948501587,0.8999999761581421,1.003999948501587,0.9380000233650208,

4. OATS,1. Kilogram,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,

4. OATS,3. Quintal,,,,,,,,,,

4. OATS,8. Jog,0.9229999780654908,0.9229999780654908,0.9229999780654908,0.959999978542328,0.9229999780654908,0.9229999780654908,0.8349999785423279,0.9229999780654908,1.059999942779541,

4. OATS,21. Akumada/Dawla/Lekota Small,27.950000762939453,27.950000762939453,27.950000762939453,27.950000762939453,27.950000762939453,27.950000762939453,27.950000762939453,27.950000762939453,27.950000762939453,Used jog ratio for teff to estimate container CF

4. OATS,22. Akumada/Dawla/Lekota Large,45.178001403808594,45.178001403808594,45.178001403808594,45.178001403808594,45.178001403808594,45.178001403808594,45.178001403808594,45.178001403808594,45.178001403808594,Used jog ratio for teff to estimate container CF

4. OATS,31. Birchiko Small,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,0.1400000005960464,Used jog ratio for teff to estimate container CF

4. OATS,32. Birchiko Medium,0.2070000022649765,0.2070000022649765,0.2070000022649765,0.2070000022649765,0.2070000022649765,0.2070000022649765,0.2070000022649765,0.2070000022649765,0.2070000022649765,Used jog ratio for teff to estimate container CF

4. OATS,33. Birchiko Large,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,Used jog ratio for teff to estimate container CF

4. OATS,81. Joniya/Kasha Small,29.899999618530277,33.0,33.0,31.25,29.899999618530277,29.899999618530277,29.899999618530277,29.899999618530277,29.899999618530277,

4. OATS,82. Joniya/Kasha Medium,54.0,64.0,64.0,50.75,54.0,54.0,54.0,54.0,54.0,

4. OATS,83. Joniya/Kasha Large,,,,,,,,,,

4. OATS,92. Kerchat/Kemba Medium,21.8799991607666,21.8799991607666,21.8799991607666,21.8799991607666,21.8799991607666,21.8799991607666,21.8799991607666,21.8799991607666,21.8799991607666,

4. OATS,101. Kubaya/Cup Small,0.248999997973442,0.248999997973442,0.248999997973442,0.248999997973442,0.248999997973442,0.248999997973442,0.248999997973442,0.248999997973442,0.248999997973442,Used jog ratio for teff to estimate container CF

4. OATS,102. Kubaya/Cup Medium,0.3210000097751617,0.3210000097751617,0.3210000097751617,0.3210000097751617,0.3210000097751617,0.3210000097751617,0.3210000097751617,0.3210000097751617,0.3210000097751617,Used jog ratio for teff to estimate container CF

4. OATS,103. Kubaya/Cup Large,0.652999997138977,0.652999997138977,0.652999997138977,0.652999997138977,0.652999997138977,0.652999997138977,0.652999997138977,0.652999997138977,0.652999997138977,Used jog ratio for teff to estimate container CF

4. OATS,111. Kunna/Mishe/Kefer/Enkib Small,5.480000019073486,5.480000019073486,5.480000019073486,5.480000019073486,5.480000019073486,5.480000019073486,5.480000019073486,5.480000019073486,5.480000019073486,Used jog ratio for teff to estimate container CF

4. OATS,112. Kunna/Mishe/Kefer/Enkib Medium,9.916999816894531,9.916999816894531,9.916999816894531,9.916999816894531,9.916999816894531,9.916999816894531,9.916999816894531,9.916999816894531,9.916999816894531,Used jog ratio for teff to estimate container CF

4. OATS,113. Kunna/Mishe/Kefer/Enkib Large,22.440000534057617,22.440000534057617,22.440000534057617,22.440000534057617,22.440000534057617,22.440000534057617,22.440000534057617,22.440000534057617,22.440000534057617,Used jog ratio for teff to estimate container CF

4. OATS,121. Madaberia/Nuse/Shera/Cheret Small,29.899999618530277,33.0,33.0,31.25,29.899999618530277,29.899999618530277,29.899999618530277,29.899999618530277,29.899999618530277,

4. OATS,122. Madaberia/Nuse/Shera/Cheret Medium,54.0,64.0,64.0,50.75,54.0,54.0,54.0,54.0,54.0,

4. OATS,123. Madaberia/Nuse/Shera/Cheret Large,,,,,,,,,,

4. OATS,151. Sahin Small,0.7649999856948853,0.7649999856948853,0.7649999856948853,0.7649999856948853,0.7649999856948853,0.7649999856948853,0.7649999856948853,0.7649999856948853,0.7649999856948853,Used jog ratio for teff to estimate container CF

4. OATS,152. Sahin Medium,1.2339999675750732,1.2339999675750732,1.2339999675750732,1.2339999675750732,1.2339999675750732,1.2339999675750732,1.2339999675750732,1.2339999675750732,1.2339999675750732,Used jog ratio for teff to estimate container CF

4. OATS,153. Sahin Large,2.062999963760376,2.062999963760376,2.062999963760376,2.062999963760376,2.062999963760376,2.062999963760376,2.062999963760376,2.062999963760376,2.062999963760376,Used jog ratio for teff to estimate container CF

4. OATS,171. Sini Small,0.0469999983906745,0.0469999983906745,0.0469999983906745,0.0469999983906745,0.0469999983906745,0.0469999983906745,0.0469999983906745,0.0469999983906745,0.0469999983906745,Used jog ratio for teff to estimate container CF

4. OATS,172. Sini Medium,0.0799999982118606,0.0799999982118606,0.0799999982118606,0.0799999982118606,0.0799999982118606,0.0799999982118606,0.0799999982118606,0.0799999982118606,0.0799999982118606,Used jog ratio for teff to estimate container CF

4. OATS,181. Tasa/Tanika/Shember/Selemon Small,0.4390000104904175,0.4390000104904175,0.4390000104904175,0.3799999952316284,0.4350000023841858,0.4390000104904175,0.4390000104904175,0.4390000104904175,0.4900000095367431,

4. OATS,182. Tasa/Tanika/Shember/Selemon Medium,0.7910000085830688,0.7910000085830688,0.7910000085830688,0.7770000100135803,0.7910000085830688,0.7910000085830688,0.7630000114440918,0.7910000085830688,0.8999999761581421,

4. OATS,183. Tasa/Tanika/Shember/Selemon Large,1.0789999961853027,1.2130000591278076,1.215000033378601,1.0789999961853027,1.0789999961853027,1.0789999961853027,0.959999978542328,1.0789999961853027,0.915000021457672,

5. RICE,3. Quintal,,,,,,,,,,

6. SORGHUM,1. Kilogram,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,

6. SORGHUM,2. Gram,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,

6. SORGHUM,3. Quintal,,,,,,,,,,

6. SORGHUM,8. Jog,0.99099999666214,0.9800000190734864,0.99099999666214,1.0,0.9200000166893004,0.99099999666214,1.034999966621399,0.99099999666214,0.9769999980926514,

6. SORGHUM,21. Akumada/Dawla/Lekota Small,28.920000076293945,28.690000534057617,29.3799991607666,28.920000076293945,28.920000076293945,28.920000076293945,28.920000076293945,28.920000076293945,28.920000076293945,

6. SORGHUM,22. Akumada/Dawla/Lekota Large,47.0,47.66699981689453,47.0,45.0,47.0,47.0,47.0,47.0,47.0,

6. SORGHUM,31. Birchiko Small,0.1550000011920929,0.1550000011920929,0.1550000011920929,0.1550000011920929,0.1550000011920929,0.1550000011920929,0.1550000011920929,0.1550000011920929,0.1550000011920929,

